root	leaf	logFC_root_leaf	PValue_root_leaf	FDR_root_leaf
AT1TE00010	386.064120212589	240.265891428848	0.626371996020459	0.730183750304865	1
AT1TE00020	0	0	0	1	1
AT1TE00025	0	0	0	1	1
AT1TE00030	0	0	0	1	1
AT1TE00150	0	0	0	1	1
AT1TE00220	0	0	0	1	1
AT1TE00225	331.789189527859	439.703357252954	-0.399829894600115	0.33051951752559	1
AT1TE00470	0	77.3414772958031	-2.35098263649228	0.999999999999998	1
AT1TE00600	0	0	0	1	1
AT1TE00605	0	0	0	1	1
AT1TE00610	0	0	0	1	1
AT1TE00660	0	0	0	1	1
AT1TE00665	0	0	0	1	1
AT1TE00670	0	0	0	1	1
AT1TE00680	0	0	0	1	1
AT1TE00820	0	0	0	1	1
AT1TE00825	0	0	0	1	1
AT1TE00830	0	0	0	1	1
AT1TE00835	0	0	0	1	1
AT1TE00840	0	0	0	1	1
AT1TE00845	0	0	0	1	1
AT1TE01010	0	0	0	1	1
AT1TE01140	0	0	0	1	1
AT1TE01145	0	0	0	1	1
AT1TE01155	510.055453173222	556.03774896766	-0.118833052379701	0.86377690588851	1
AT1TE01370	0	0	0	1	1
AT1TE01390	0	0	0	1	1
AT1TE01395	0	0	0	1	1
AT1TE01400	0	0	0	1	1
AT1TE01405	0	0	0	1	1
AT1TE01490	21.3474382418812	45.2635808936865	-1.00990498591679	0.515475793250603	1
AT1TE01530	0	0	0	1	1
AT1TE01610	0	0	0	1	1
AT1TE01615	0	0	0	1	1
AT1TE01620	0	0	0	1	1
AT1TE01625	0	0	0	1	1
AT1TE01660	0	0	0	1	1
AT1TE01665	0	0	0	1	1
AT1TE01710	0	0	0	1	1
AT1TE01740	0	0	0	1	1
AT1TE01745	0	0	0	1	1
AT1TE01750	0	0	0	1	1
AT1TE01755	0	0	0	1	1
AT1TE01760	9.31244184168819	0	2.29434778002179	0.999999999999995	1
AT1TE01810	0	0	0	1	1
AT1TE01900	0	0	0	1	1
AT1TE01905	0	0	0	1	1
AT1TE01910	0	0	0	1	1
AT1TE01915	0	0	0	1	1
AT1TE01920	0	0	0	1	1
AT1TE01970	0	0	0	1	1
AT1TE01975	0	0	0	1	1
AT1TE01980	0	0	0	1	1
AT1TE01985	0	0	0	1	1
AT1TE02060	0	0	0	1	1
AT1TE02070	26.8800177177113	53.5034799045596	-0.906101792283574	1	1
AT1TE02075	6.05359207258538	3.35931528943329	0.787942911398476	1	1
AT1TE02080	0	47.0539057673767	-2.3509826363009	1	1
AT1TE02160	0	0	0	1	1
AT1TE02165	0	0	0	1	1
AT1TE02175	0	0	0	1	1
AT1TE02180	0	0	0	1	1
AT1TE02190	0	0	0	1	1
AT1TE02195	0	0	0	1	1
AT1TE02200	0	0	0	1	1
AT1TE02260	70.7531500845505	232.024431887409	-1.44106199266628	0.628919483922805	1
AT1TE02265	0	0	0	1	1
AT1TE02270	0	0	0	1	1
AT1TE02275	0	45.0452091843535	-2.34990270319824	1	1
AT1TE02360	775.046621543049	232.682975690222	1.72819297672239	0.0136984505085588	1
AT1TE02365	0	0	0	1	1
AT1TE02460	2216.63706336933	2543.11148055279	-0.207309553951084	0.686084939894435	1
AT1TE02465	0	9.63502813344113	-3.73283742922022	0.252788896567305	1
AT1TE02470	39.9709354373759	0	2.29434778002827	0.999999999999998	1
AT1TE02540	47.4135041795028	72.8979874270343	-0.623614871707886	0.557220156185555	1
AT1TE02545	31.2508889726508	97.8402341385517	-1.43865791378332	0.627775987442627	1
AT1TE02550	32125.8926364777	36388.6191993606	-0.177846306560928	0.336718765463995	1
AT1TE02555	0	0	0	1	1
AT1TE02560	0	0	0	1	1
AT1TE02565	0	0	0	1	1
AT1TE02680	0	0	0	1	1
AT1TE02685	0	0	0	1	1
AT1TE02690	0	0	0	1	1
AT1TE02695	0	0	0	1	1
AT1TE02770	561.266537576955	615.557073593699	-0.131282179324283	0.741980632117137	1
AT1TE02880	1911.58030228449	1410.03498201681	0.441151407537705	0.195250686031342	1
AT1TE02950	0	0	0	1	1
AT1TE02980	7.01084744573564	52.2731657423901	-2.59985305359454	0.0752868770417648	1
AT1TE02985	0	0	0	1	1
AT1TE03010	28.0468472308086	47.4955470455043	-0.725970438912883	0.554564819813741	1
AT1TE03050	2549.41707395059	2493.08007760819	0.0357098153029274	0.897717526706523	1
AT1TE03080	0	0	0	1	1
AT1TE03170	0	0	0	1	1
AT1TE03175	0	0	0	1	1
AT1TE03180	0	0	0	1	1
AT1TE03185	349.091329087147	192.248814992425	0.788203820607288	1	1
AT1TE03190	132.044060026787	115.186890446299	0.190125836314283	0.862507319815639	1
AT1TE03195	2857.10262732248	2162.56149815659	0.405767085446116	0.558499255479016	1
AT1TE03780	60.6267246069425	0	2.29417294521795	0.999999999999999	1
AT1TE03785	0	0	0	1	1
AT1TE03790	253.586682624684	177.716916688575	0.497715162086026	0.61501363344802	1
AT1TE03830	0	0	0	1	1
AT1TE03835	0	0	0	1	1
AT1TE03860	0	0	0	1	1
AT1TE03865	0	0	0	1	1
AT1TE03870	0	0	0	1	1
AT1TE03900	22.2665882810529	0	3.66838838588883	0.252812862221588	1
AT1TE03905	0	0	0	1	1
AT1TE03915	0	0	0	1	1
